# Element properties. "?" means NOT KNOWN and is never rendered as zero or as a
# ramp position (PRD.md §9, DESIGN.md §4).
#
# mass         standard atomic weight, or the mass number of the most stable
#              known isotope for elements with no stable nuclide.
#              Source: IUPAC Commission on Isotopic Abundances and Atomic
#              Weights, "Atomic weights of the elements 2021" (2022).
# category     eight-value taxonomy, DESIGN.md §4 / invariant 7.
# origin       dominant nucleosynthetic source, simplified to seven values.
#              Source: Johnson, J. A., Science 363, 474 (2019).
# discovery    year first isolated or identified. "?" for elements in use since
#              antiquity, which have no recorded year — see the method page.
#              Source: IUPAC element discovery records; Emsley, Nature's
#              Building Blocks (2011).
# en           Pauling electronegativity. Source: CRC Handbook, 104th ed.
# radius       empirical atomic radius, pm. Source: Slater, J. Chem. Phys. 41,
#              3199 (1964); CRC Handbook, 104th ed.
# ie           first ionisation energy, kJ/mol. Source: NIST Atomic Spectra
#              Database, Ionization Energies Data.
# melt         melting point at standard pressure, K. Source: CRC Handbook.
# density      density at 298 K, g/cm3 (gases at 273 K, 101.325 kPa).
#              Source: CRC Handbook, 104th ed.
#
# z	symbol	name_en	name_id	mass	category	origin	discovery	en	radius	ie	melt	density
1	H	Hydrogen	Hidrogen	1.008	reactive-nonmetal	big-bang	1766	2.20	25	1312.0	13.99	0.00008988
2	He	Helium	Helium	4.0026	noble-gas	big-bang	1868	?	31	2372.3	0.95	0.0001785
3	Li	Lithium	Litium	6.94	alkali-metal	big-bang	1817	0.98	145	520.2	453.65	0.534
4	Be	Beryllium	Berilium	9.0122	alkaline-earth-metal	cosmic-ray-fission	1798	1.57	105	899.5	1560	1.85
5	B	Boron	Boron	10.81	metalloid	cosmic-ray-fission	1808	2.04	85	800.6	2349	2.34
6	C	Carbon	Karbon	12.011	reactive-nonmetal	dying-low-mass-stars	?	2.55	70	1086.5	3823	2.267
7	N	Nitrogen	Nitrogen	14.007	reactive-nonmetal	dying-low-mass-stars	1772	3.04	65	1402.3	63.15	0.0012506
8	O	Oxygen	Oksigen	15.999	reactive-nonmetal	exploding-massive-stars	1774	3.44	60	1313.9	54.36	0.001429
9	F	Fluorine	Fluorin	18.998	reactive-nonmetal	dying-low-mass-stars	1886	3.98	50	1681.0	53.53	0.001696
10	Ne	Neon	Neon	20.180	noble-gas	exploding-massive-stars	1898	?	38	2080.7	24.56	0.0008999
11	Na	Sodium	Natrium	22.990	alkali-metal	exploding-massive-stars	1807	0.93	180	495.8	370.94	0.971
12	Mg	Magnesium	Magnesium	24.305	alkaline-earth-metal	exploding-massive-stars	1755	1.31	150	737.7	923	1.738
13	Al	Aluminium	Aluminium	26.982	post-transition-metal	exploding-massive-stars	1825	1.61	125	577.5	933.47	2.698
14	Si	Silicon	Silikon	28.085	metalloid	exploding-massive-stars	1824	1.90	110	786.5	1687	2.3296
15	P	Phosphorus	Fosforus	30.974	reactive-nonmetal	exploding-massive-stars	1669	2.19	100	1011.8	317.3	1.82
16	S	Sulfur	Belerang	32.06	reactive-nonmetal	exploding-massive-stars	?	2.58	100	999.6	388.36	2.067
17	Cl	Chlorine	Klorin	35.45	reactive-nonmetal	exploding-massive-stars	1774	3.16	100	1251.2	171.6	0.003214
18	Ar	Argon	Argon	39.95	noble-gas	exploding-massive-stars	1894	?	71	1520.6	83.81	0.0017837
19	K	Potassium	Kalium	39.098	alkali-metal	exploding-massive-stars	1807	0.82	220	418.8	336.53	0.862
20	Ca	Calcium	Kalsium	40.078	alkaline-earth-metal	exploding-massive-stars	1808	1.00	180	589.8	1115	1.54
21	Sc	Scandium	Skandium	44.956	transition-metal	exploding-massive-stars	1879	1.36	160	633.1	1814	2.989
22	Ti	Titanium	Titanium	47.867	transition-metal	exploding-massive-stars	1791	1.54	140	658.8	1941	4.54
23	V	Vanadium	Vanadium	50.942	transition-metal	exploding-massive-stars	1801	1.63	135	650.9	2183	6.11
24	Cr	Chromium	Kromium	51.996	transition-metal	exploding-white-dwarfs	1794	1.66	140	652.9	2180	7.15
25	Mn	Manganese	Mangan	54.938	transition-metal	exploding-white-dwarfs	1774	1.55	140	717.3	1519	7.44
26	Fe	Iron	Besi	55.845	transition-metal	exploding-white-dwarfs	?	1.83	140	762.5	1811	7.874
27	Co	Cobalt	Kobalt	58.933	transition-metal	exploding-white-dwarfs	1735	1.88	135	760.4	1768	8.86
28	Ni	Nickel	Nikel	58.693	transition-metal	exploding-white-dwarfs	1751	1.91	135	737.1	1728	8.912
29	Cu	Copper	Tembaga	63.546	transition-metal	exploding-massive-stars	?	1.90	135	745.5	1357.77	8.96
30	Zn	Zinc	Seng	65.38	transition-metal	exploding-massive-stars	1746	1.65	135	906.4	692.68	7.134
31	Ga	Gallium	Galium	69.723	post-transition-metal	exploding-massive-stars	1875	1.81	130	578.8	302.91	5.907
32	Ge	Germanium	Germanium	72.630	metalloid	exploding-massive-stars	1886	2.01	125	762.0	1211.4	5.323
33	As	Arsenic	Arsen	74.922	metalloid	dying-low-mass-stars	1250	2.18	115	947.0	1090	5.776
34	Se	Selenium	Selenium	78.971	reactive-nonmetal	dying-low-mass-stars	1817	2.55	115	941.0	493	4.809
35	Br	Bromine	Bromin	79.904	reactive-nonmetal	dying-low-mass-stars	1826	2.96	115	1139.9	265.8	3.122
36	Kr	Krypton	Kripton	83.798	noble-gas	dying-low-mass-stars	1898	3.00	88	1350.8	115.79	0.003733
37	Rb	Rubidium	Rubidium	85.468	alkali-metal	dying-low-mass-stars	1861	0.82	235	403.0	312.46	1.532
38	Sr	Strontium	Stronsium	87.62	alkaline-earth-metal	dying-low-mass-stars	1790	0.95	200	549.5	1050	2.64
39	Y	Yttrium	Itrium	88.906	transition-metal	dying-low-mass-stars	1794	1.22	180	600.0	1799	4.469
40	Zr	Zirconium	Zirkonium	91.224	transition-metal	dying-low-mass-stars	1789	1.33	155	640.1	2128	6.506
41	Nb	Niobium	Niobium	92.906	transition-metal	dying-low-mass-stars	1801	1.60	145	652.1	2750	8.57
