# Elements USGS Mineral Commodity Summaries 2024 tracks as commodities with
# country-level production tables. An element in this list with no row in
# usgs.tsv is NOT PRODUCED in Indonesia — a different fact from producing a
# small amount, and given a different appearance (invariant 9).
#
# An element absent from this list has no USGS production data at all and is
# rendered as unknown, never as zero.
#
# z	symbol
3	Li
4	Be
5	B
11	Na
12	Mg
13	Al
14	Si
16	S
19	K
20	Ca
21	Sc
22	Ti
23	V
24	Cr
25	Mn
26	Fe
27	Co
28	Ni
29	Cu
30	Zn
31	Ga
32	Ge
33	As
34	Se
38	Sr
39	Y
40	Zr
41	Nb
42	Mo
44	Ru
45	Rh
46	Pd
47	Ag
48	Cd
49	In
50	Sn
51	Sb
52	Te
55	Cs
56	Ba
57	La
58	Ce
59	Pr
60	Nd
62	Sm
63	Eu
64	Gd
65	Tb
66	Dy
67	Ho
68	Er
69	Tm
70	Yb
71	Lu
72	Hf
73	Ta
74	W
75	Re
76	Os
77	Ir
78	Pt
79	Au
80	Hg
81	Tl
82	Pb
83	Bi
90	Th
92	U
